2023-10-05 13:50:10,231  =================== rf_02 start training ===================
2023-10-05 13:50:12,643  gridsearching...
2023-10-05 14:07:22,809  model: rf_02, best_params: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 30}
2023-10-05 14:07:22,809  0.154 (+/-0.030) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 14:07:22,810  0.524 (+/-0.053) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 30}
2023-10-05 14:07:22,810  0.171 (+/-0.035) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 3}
2023-10-05 14:07:22,810  0.249 (+/-0.050) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 8}
2023-10-05 14:07:22,810  0.335 (+/-0.120) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 12}
2023-10-05 14:07:22,810  0.363 (+/-0.092) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 16}
2023-10-05 14:07:22,810  0.402 (+/-0.095) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 20}
2023-10-05 14:07:22,811  0.504 (+/-0.087) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 30}
2023-10-05 14:07:22,811  0.178 (+/-0.029) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 14:07:22,811  0.234 (+/-0.040) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 8}
2023-10-05 14:07:22,811  0.348 (+/-0.075) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 12}
2023-10-05 14:07:22,811  0.360 (+/-0.105) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 16}
2023-10-05 14:07:22,811  0.434 (+/-0.097) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 20}
2023-10-05 14:07:22,811  0.503 (+/-0.060) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 30}
2023-10-05 14:07:22,811  0.158 (+/-0.055) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 3}
2023-10-05 14:07:22,811  0.235 (+/-0.074) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 8}
2023-10-05 14:07:22,811  0.330 (+/-0.046) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 12}
2023-10-05 14:07:22,811  0.377 (+/-0.080) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 16}
2023-10-05 14:07:22,811  0.407 (+/-0.076) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 20}
2023-10-05 14:07:22,811  0.468 (+/-0.084) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 30}
2023-10-05 14:07:22,811  0.171 (+/-0.069) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 3}
2023-10-05 14:07:22,811  0.258 (+/-0.068) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 8}
2023-10-05 14:07:22,811  0.339 (+/-0.054) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 12}
2023-10-05 14:07:22,811  0.335 (+/-0.072) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 16}
2023-10-05 14:07:22,811  0.385 (+/-0.045) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 20}
2023-10-05 14:07:22,811  0.479 (+/-0.060) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 30}
2023-10-05 14:07:22,811  0.176 (+/-0.057) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 3}
2023-10-05 14:07:22,811  0.294 (+/-0.077) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 8}
2023-10-05 14:07:22,811  0.331 (+/-0.093) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 12}
2023-10-05 14:07:22,811  0.369 (+/-0.074) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 16}
2023-10-05 14:07:22,811  0.423 (+/-0.078) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 20}
2023-10-05 14:07:22,811  0.503 (+/-0.057) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 30}
2023-10-05 14:07:22,811  0.175 (+/-0.039) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 24, 'n_estimators': 3}
2023-10-05 14:07:22,812  0.278 (+/-0.082) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 24, 'n_estimators': 8}
2023-10-05 14:07:22,812  0.338 (+/-0.052) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 24, 'n_estimators': 12}
2023-10-05 14:07:22,812  0.362 (+/-0.056) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 24, 'n_estimators': 16}
2023-10-05 14:07:22,812  0.426 (+/-0.053) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 24, 'n_estimators': 20}
2023-10-05 14:07:22,812  0.493 (+/-0.101) for {'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 24, 'n_estimators': 30}
2023-10-05 14:07:22,812  0.168 (+/-0.067) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 14:07:22,812  0.244 (+/-0.027) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 8}
2023-10-05 14:07:22,812  0.350 (+/-0.111) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 12}
2023-10-05 14:07:22,812  0.388 (+/-0.069) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 16}
2023-10-05 14:07:22,812  0.385 (+/-0.060) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 20}
2023-10-05 14:07:22,812  0.510 (+/-0.080) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 30}
2023-10-05 14:07:22,812  0.160 (+/-0.039) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 3}
2023-10-05 14:07:22,812  0.262 (+/-0.049) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 8}
2023-10-05 14:07:22,812  0.331 (+/-0.048) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 12}
2023-10-05 14:07:22,812  0.357 (+/-0.024) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 16}
2023-10-05 14:07:22,812  0.385 (+/-0.035) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 20}
2023-10-05 14:07:22,812  0.518 (+/-0.032) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 30}
2023-10-05 14:07:22,812  0.163 (+/-0.040) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 12, 'n_estimators': 3}
2023-10-05 14:07:22,812  0.289 (+/-0.062) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 12, 'n_estimators': 8}
2023-10-05 14:07:22,812  0.325 (+/-0.063) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 12, 'n_estimators': 12}
2023-10-05 14:07:22,812  0.365 (+/-0.050) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 12, 'n_estimators': 16}
2023-10-05 14:07:22,812  0.408 (+/-0.054) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 12, 'n_estimators': 20}
2023-10-05 14:07:22,812  0.487 (+/-0.076) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 12, 'n_estimators': 30}
2023-10-05 14:07:22,812  0.181 (+/-0.031) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 18, 'n_estimators': 3}
2023-10-05 14:07:22,812  0.289 (+/-0.065) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 18, 'n_estimators': 8}
2023-10-05 14:07:22,812  0.324 (+/-0.086) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 18, 'n_estimators': 12}
2023-10-05 14:07:22,812  0.365 (+/-0.036) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 18, 'n_estimators': 16}
2023-10-05 14:07:22,813  0.442 (+/-0.079) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 18, 'n_estimators': 20}
2023-10-05 14:07:22,813  0.503 (+/-0.089) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 18, 'n_estimators': 30}
2023-10-05 14:07:22,813  0.165 (+/-0.043) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 24, 'n_estimators': 3}
2023-10-05 14:07:22,813  0.288 (+/-0.036) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 24, 'n_estimators': 8}
2023-10-05 14:07:22,813  0.321 (+/-0.070) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 24, 'n_estimators': 12}
2023-10-05 14:07:22,813  0.373 (+/-0.136) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 24, 'n_estimators': 16}
2023-10-05 14:07:22,813  0.412 (+/-0.047) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 24, 'n_estimators': 20}
2023-10-05 14:07:22,813  0.499 (+/-0.028) for {'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 24, 'n_estimators': 30}
2023-10-05 14:07:22,813  0.166 (+/-0.058) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 14:07:22,813  0.270 (+/-0.076) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 8}
2023-10-05 14:07:22,813  0.299 (+/-0.056) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 12}
2023-10-05 14:07:22,813  0.359 (+/-0.054) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 16}
2023-10-05 14:07:22,813  0.412 (+/-0.065) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 20}
2023-10-05 14:07:22,813  0.465 (+/-0.044) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 30}
2023-10-05 14:07:22,813  0.160 (+/-0.060) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 3}
2023-10-05 14:07:22,813  0.273 (+/-0.082) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 8}
2023-10-05 14:07:22,813  0.322 (+/-0.050) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 12}
2023-10-05 14:07:22,813  0.376 (+/-0.102) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 16}
2023-10-05 14:07:22,813  0.396 (+/-0.071) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 20}
2023-10-05 14:07:22,813  0.488 (+/-0.052) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 30}
2023-10-05 14:07:22,814  0.174 (+/-0.072) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 3}
2023-10-05 14:07:22,814  0.284 (+/-0.064) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 8}
2023-10-05 14:07:22,814  0.314 (+/-0.082) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 12}
2023-10-05 14:07:22,814  0.381 (+/-0.080) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 16}
2023-10-05 14:07:22,814  0.361 (+/-0.030) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 20}
2023-10-05 14:07:22,814  0.474 (+/-0.065) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 30}
2023-10-05 14:07:22,814  0.158 (+/-0.053) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 18, 'n_estimators': 3}
2023-10-05 14:07:22,814  0.284 (+/-0.063) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 18, 'n_estimators': 8}
2023-10-05 14:07:22,814  0.334 (+/-0.073) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 18, 'n_estimators': 12}
2023-10-05 14:07:22,814  0.385 (+/-0.068) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 18, 'n_estimators': 16}
2023-10-05 14:07:22,814  0.422 (+/-0.052) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 18, 'n_estimators': 20}
2023-10-05 14:07:22,814  0.484 (+/-0.046) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 18, 'n_estimators': 30}
2023-10-05 14:07:22,815  0.161 (+/-0.034) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 3}
2023-10-05 14:07:22,815  0.265 (+/-0.050) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 8}
2023-10-05 14:07:22,815  0.309 (+/-0.072) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 12}
2023-10-05 14:07:22,815  0.380 (+/-0.079) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 16}
2023-10-05 14:07:22,815  0.395 (+/-0.052) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 20}
2023-10-05 14:07:22,815  0.487 (+/-0.030) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 30}
2023-10-05 14:07:22,815  0.162 (+/-0.053) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 14:07:22,815  0.221 (+/-0.059) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 8}
2023-10-05 14:07:22,815  0.295 (+/-0.032) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 12}
2023-10-05 14:07:22,815  0.403 (+/-0.083) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 16}
2023-10-05 14:07:22,815  0.383 (+/-0.056) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 20}
2023-10-05 14:07:22,815  0.457 (+/-0.015) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 30}
2023-10-05 14:07:22,815  0.165 (+/-0.065) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 3}
2023-10-05 14:07:22,815  0.217 (+/-0.047) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 8}
2023-10-05 14:07:22,815  0.296 (+/-0.083) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 12}
2023-10-05 14:07:22,815  0.347 (+/-0.091) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 16}
2023-10-05 14:07:22,815  0.365 (+/-0.064) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 20}
2023-10-05 14:07:22,815  0.445 (+/-0.055) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 30}
2023-10-05 14:07:22,815  0.159 (+/-0.064) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 3}
2023-10-05 14:07:22,815  0.261 (+/-0.098) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 8}
2023-10-05 14:07:22,815  0.320 (+/-0.117) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 12}
2023-10-05 14:07:22,815  0.330 (+/-0.099) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 16}
2023-10-05 14:07:22,815  0.380 (+/-0.057) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 20}
2023-10-05 14:07:22,815  0.496 (+/-0.084) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 30}
2023-10-05 14:07:22,815  0.183 (+/-0.040) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 18, 'n_estimators': 3}
2023-10-05 14:07:22,815  0.232 (+/-0.048) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 18, 'n_estimators': 8}
2023-10-05 14:07:22,816  0.291 (+/-0.056) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 18, 'n_estimators': 12}
2023-10-05 14:07:22,816  0.333 (+/-0.088) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 18, 'n_estimators': 16}
2023-10-05 14:07:22,816  0.370 (+/-0.062) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 18, 'n_estimators': 20}
2023-10-05 14:07:22,816  0.478 (+/-0.072) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 18, 'n_estimators': 30}
2023-10-05 14:07:22,816  0.151 (+/-0.067) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 3}
2023-10-05 14:07:22,816  0.241 (+/-0.089) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 8}
2023-10-05 14:07:22,816  0.314 (+/-0.078) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 12}
2023-10-05 14:07:22,816  0.350 (+/-0.033) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 16}
2023-10-05 14:07:22,816  0.413 (+/-0.109) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 20}
2023-10-05 14:07:22,816  0.464 (+/-0.053) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 30}
2023-10-05 14:07:22,816  0.204 (+/-0.074) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 14:07:22,816  0.304 (+/-0.047) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 8}
2023-10-05 14:07:22,816  0.392 (+/-0.087) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 12}
2023-10-05 14:07:22,816  0.482 (+/-0.084) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 16}
2023-10-05 14:07:22,816  0.527 (+/-0.045) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}
2023-10-05 14:07:22,816  0.608 (+/-0.037) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 30}
2023-10-05 14:07:22,816  0.208 (+/-0.031) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 3}
2023-10-05 14:07:22,816  0.326 (+/-0.048) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 8}
2023-10-05 14:07:22,816  0.446 (+/-0.060) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 12}
2023-10-05 14:07:22,816  0.442 (+/-0.074) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 16}
2023-10-05 14:07:22,816  0.504 (+/-0.045) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 20}
2023-10-05 14:07:22,816  0.607 (+/-0.046) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 30}
2023-10-05 14:07:22,816  0.221 (+/-0.107) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 3}
2023-10-05 14:07:22,816  0.334 (+/-0.057) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 8}
2023-10-05 14:07:22,816  0.402 (+/-0.068) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 12}
2023-10-05 14:07:22,816  0.476 (+/-0.014) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 16}
2023-10-05 14:07:22,816  0.546 (+/-0.080) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 20}
2023-10-05 14:07:22,816  0.606 (+/-0.047) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 30}
2023-10-05 14:07:22,817  0.207 (+/-0.073) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 3}
2023-10-05 14:07:22,817  0.325 (+/-0.088) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 8}
2023-10-05 14:07:22,817  0.389 (+/-0.062) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 12}
2023-10-05 14:07:22,817  0.481 (+/-0.074) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 16}
2023-10-05 14:07:22,817  0.550 (+/-0.141) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 20}
2023-10-05 14:07:22,817  0.618 (+/-0.044) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 30}
2023-10-05 14:07:22,817  0.193 (+/-0.067) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 3}
2023-10-05 14:07:22,817  0.330 (+/-0.047) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 8}
2023-10-05 14:07:22,817  0.394 (+/-0.050) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 12}
2023-10-05 14:07:22,817  0.453 (+/-0.019) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 16}
2023-10-05 14:07:22,817  0.506 (+/-0.065) for {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 20}
